filename,notes,authors,licenses,urls
"body/bodies/male/walk.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16, JaidynReiman, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases"
"head/heads/human/male_gaunt/walk.png","original head by Redshrike, gaunt version by bluecarrot16","Stephen Challener (Redshrike), bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-folk"
"head/faces/male/neutral/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"shadow/adult/walk.png","Original by Dr. Jamgo, jump/sit/emote/run/revised combat by JaidynReiman","drjamgo@hotmail.com, JaidynReiman","CC0","https://opengameart.org/content/shadow-for-lpc-sprite"
"beards/beard/winter/male/walk.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-santa"
"hair/mop/adult/walk.png","(george)","Radomir Dopieralski, bluecarrot16","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/alternate-lpc-character-sprites-george, https://opengameart.org/content/lpc-hair"
"arms/bracers/male/walk.png","original by wulax, adjustments by Makrohn, climb/emote/jump/sit/run by JaidynReiman","Matthew Krohn (makrohn), Johannes Sjölund (wulax), JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"torso/clothes/longsleeve/longsleeve2_cardigan/male/walk.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/vest_open/male/walk/red.png","","bluecarrot16, Thane Brimhall (pennomi), laetissima","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-2-characters, https://opengameart.org/content/lpc-gentleman, https://opengameart.org/content/lpc-pirates"
"weapon/magic/s/universal/foreground/walk/medium.png","Wooden staff by LordNeo, first adapted to LPC by bigbeargames; re-drawn and walk animations added by bluecarrot16","LordNeo, Michael Whitlock (bigbeargames), bluecarrot16","CC0","https://opengameart.org/content/staff-64-x64, https://opengameart.org/content/lpc-magic-staff"
"legs/pantaloons/male/walk.png","Original bases by Redshrike, thrust/shoot bases by Wulax, Original Pantaloons by Nila122, climb/jump/run/sit/emotes/revised combat by JaidynReiman","Nila122, JaidynReiman, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 2.0, GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates, https://opengameart.org/content/more-lpc-clothes-and-hair, https://opengameart.org/content/lpc-expanded-pants"
"torso/jacket/frock/male/walk/rose.png","","bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
"feet/sandals/male/walk.png","edited for v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","Nila122, JaidynReiman, Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-socks-shoes"
